Temperature,Humidity,Light Intensity,Soil Moisture,Door State,Light State,Fan State,Pump State
24.0,12.0,207.0,895.0,1.0,0.0,0.0,0.0
24.0,12.0,207.0,895.0,1.0,0.0,0.0,0.0
24.0,12.0,207.0,895.0,1.0,0.0,0.0,0.0
24.0,12.0,207.0,895.0,1.0,0.0,0.0,0.0
24.0,12.0,207.0,895.0,1.0,0.0,0.0,0.0
24.0,12.0,239.0,895.0,1.0,0.0,0.0,0.0
24.0,12.0,239.0,895.0,1.0,0.0,0.0,0.0
24.0,12.0,239.0,895.0,1.0,0.0,0.0,0.0
24.0,12.0,239.0,895.0,1.0,0.0,0.0,0.0
24.0,12.0,239.0,895.0,1.0,0.0,0.0,0.0
24.0,12.0,511.0,895.0,1.0,0.0,0.0,0.0
24.0,12.0,511.0,895.0,1.0,0.0,0.0,0.0
24.0,12.0,511.0,895.0,1.0,0.0,0.0,0.0
24.0,12.0,511.0,895.0,1.0,0.0,0.0,0.0
24.0,12.0,511.0,895.0,1.0,0.0,0.0,0.0
24.0,12.0,504.0,895.0,1.0,0.0,0.0,0.0
24.0,12.0,504.0,895.0,1.0,0.0,0.0,0.0
24.0,12.0,504.0,895.0,1.0,0.0,0.0,0.0
24.0,12.0,504.0,895.0,1.0,0.0,0.0,0.0
24.0,12.0,504.0,895.0,1.0,0.0,0.0,0.0
24.0,12.0,510.0,895.0,1.0,0.0,0.0,0.0
24.0,12.0,510.0,894.0,1.0,0.0,0.0,0.0
24.0,12.0,510.0,894.0,1.0,0.0,0.0,0.0
24.0,12.0,510.0,894.0,1.0,0.0,0.0,0.0
24.0,12.0,510.0,894.0,1.0,0.0,0.0,0.0
24.0,12.0,527.0,894.0,1.0,0.0,0.0,0.0
24.0,12.0,527.0,653.0,1.0,0.0,0.0,0.0
24.0,12.0,527.0,653.0,1.0,0.0,0.0,0.0
24.0,12.0,527.0,653.0,1.0,0.0,0.0,0.0
24.0,12.0,527.0,653.0,1.0,0.0,0.0,0.0
24.0,12.0,527.0,653.0,1.0,0.0,0.0,0.0
24.0,12.0,527.0,896.0,1.0,0.0,0.0,0.0
24.0,12.0,527.0,896.0,1.0,0.0,0.0,0.0
24.0,12.0,527.0,896.0,1.0,0.0,0.0,0.0
24.0,12.0,527.0,896.0,1.0,0.0,0.0,0.0
24.0,12.0,524.0,896.0,1.0,0.0,0.0,0.0
24.0,12.0,524.0,898.0,1.0,0.0,0.0,0.0
24.0,12.0,524.0,898.0,1.0,0.0,0.0,0.0
24.0,12.0,524.0,898.0,1.0,0.0,0.0,0.0
24.0,12.0,524.0,898.0,1.0,0.0,0.0,0.0
24.0,12.0,527.0,898.0,1.0,0.0,0.0,0.0
24.0,12.0,527.0,897.0,1.0,0.0,0.0,0.0
24.0,12.0,527.0,897.0,1.0,0.0,0.0,0.0
24.0,12.0,527.0,897.0,1.0,0.0,0.0,0.0
24.0,12.0,527.0,897.0,1.0,0.0,0.0,0.0
24.0,12.0,517.0,897.0,1.0,0.0,0.0,0.0
24.0,12.0,517.0,896.0,1.0,0.0,0.0,0.0
24.0,12.0,517.0,896.0,1.0,0.0,0.0,0.0
24.0,12.0,517.0,896.0,1.0,0.0,0.0,0.0
24.0,12.0,517.0,896.0,1.0,0.0,0.0,0.0
24.0,12.0,346.0,896.0,1.0,0.0,0.0,0.0
24.0,12.0,346.0,896.0,1.0,0.0,0.0,0.0
24.0,12.0,346.0,896.0,1.0,0.0,0.0,0.0
24.0,12.0,346.0,896.0,1.0,0.0,0.0,0.0
24.0,12.0,346.0,896.0,1.0,0.0,0.0,0.0
24.0,12.0,330.0,896.0,1.0,0.0,0.0,0.0
24.0,12.0,330.0,896.0,1.0,0.0,0.0,0.0
24.0,12.0,330.0,896.0,1.0,0.0,0.0,0.0
24.0,12.0,330.0,896.0,1.0,0.0,0.0,0.0
24.0,12.0,330.0,896.0,1.0,0.0,0.0,0.0
24.0,12.0,299.0,896.0,1.0,0.0,0.0,0.0
24.0,12.0,299.0,896.0,1.0,0.0,0.0,0.0
24.0,12.0,299.0,896.0,1.0,0.0,0.0,0.0
24.0,12.0,299.0,896.0,1.0,0.0,0.0,0.0
24.0,12.0,299.0,896.0,1.0,0.0,0.0,0.0
