Watchdog Demo Starting
Soil Moisture = 895
Door State = Opened
Humidity (%) = 12.00
DHT_Temperature  (C) = 24.00
Light intensity = 553.00
Soil Moisture = 895
Door State = Opened
Humidity (%) = 12.00
DHT_Temperature  (C) = 24.00
Light intensity = 553.00
Soil Moisture = 895
Door State = Opened
Humidity (%) = 12.00
DHT_Temperature  (C) = 24.00
Light intensity = 553.00
Soil Moisture = 895
Door State = Opened
Humidity (%) = 12.00
DHT_Temperature  (C) = 24.00
Light intensity = 553.00
Soil Moisture = 896
Door State = Opened
Humidity (%) = 12.00
DHT_Temperature  (C) = 24.00
Light intensity = 551.00
Soil Moisture = 895
Door State = Opened
Humidity (%) = 12.00
DHT_Temperature  (C) = 24.00
Light intensity = 551.00
Soil Moisture = 895
Door State = Opened
Humidity (%) = 12.00
DHT_Temperature  (C) = 24.00
Light intensity = 540.00
Soil Moisture = 895
Door State = Opened
Humidity (%) = 12.00
DHT_Temperature  (C) = 24.00
Light intensity = 549.00
Soil Moisture = 895
Door State = Opened
Humidity (%) = 12.00
DHT_Temperature  (C) = 24.00
Light intensity = 545.00
Soil Moisture = 895
Door State = Opened
Humidity (%) = 12.00
DHT_Temperature  (C) = 24.00
Light intensity = 546.00
Soil Moisture = 895
Door State = Opened
Humidity (%) = 12.00
DHT_Temperature  (C) = 24.00
Light intensity = 548.00
Soil Moisture = 895
Door State = Opened
Humidity (%) = 12.00
DHT_Temperature  (C) = 24.00
Light intensity = 544.00
Soil Moisture = 895
Door State = Opened
Humidity (%) = 12.00
DHT_Temperature  (C) = 24.00
Light intensity = 543.00
Soil Moisture = 895
Door State = Opened
Humidity (%) = 12.00
DHT_Temperature  (C) = 24.00
Light intensity = 540.00
Soil Moisture = 895
Door State = Opened
Humidity (%) = 12.00
DHT_Temperature  (C) = 24.00
Light intensity = 540.00
Soil Moisture = 895
Door State = Opened
Humidity (%) = 12.00
DHT_Temperature  (C) = 24.00
Light intensity = 541.00
Soil Moisture = 895
Door State = Opened
Humidity (%) = 12.00
DHT_Temperature  (C) = 24.00
Light intensity = 541.00
Soil Moisture = 895
Door State = Opened
Humidity (%) = 12.00
DHT_Temperature  (C) = 24.00
Light intensity = 541.00
Soil Moisture = 895
Door State = Opened
Humidity (%) = 12.00
DHT_Temperature  (C) = 24.00
Light intensity = 542.00
Soil Moisture = 895
Door State = Opened
Humidity (%) = 12.00
DHT_Temperature  (C) = 24.00
Light intensity = 542.00
Soil Moisture = 895
Door State = Opened
Humidity (%) = 12.00
DHT_Temperature  (C) = 24.00
Light intensity = 457.00
Soil Moisture = 895
Door State = Opened
Humidity (%) = 12.00
DHT_Temperature  (C) = 24.00
Light intensity = 526.00
Soil Moisture = 895
Door State = Opened
Humidity (%) = 12.00
